id,type,name
1,Industry,金融・保険
2,Industry,建設・不動産
3,Industry,IT・インターネット
4,Industry,コンサルティング・士業
5,Industry,メーカー
6,Industry,商社
7,Industry,流通・小売・サービス
8,Industry,メディカル
9,Industry,マスコミ・メディア
10,Industry,エンターテインメント
11,Industry,運輸・物流
12,Industry,エネルギー
13,Industry,官公庁・公社・団体
14,Industry,その他
15,Occupation,経営・経営企画・事業企画系
16,Occupation,管理部門系
17,Occupation,物流・購買・貿易系
18,Occupation,営業系
19,Occupation,コンサルタント系
20,Occupation,金融系専門職
21,Occupation,不動産系専門職
22,Occupation,技術系（IT・WEB・通信系）
23,Occupation,技術系（電気・電子・半導体）
24,Occupation,技術系（機械・メカトロ・自動車）
25,Occupation,技術系（化学・素材・食品・衣料）
26,Occupation,技術系（建築・設備・土木・プラント）
27,Occupation,技術・専門職系（メディカル）
28,Occupation,サービス・流通系
29,Occupation,クリエイティブ系
30,Workplace,北海道
31,Workplace,青森県
32,Workplace,岩手県
33,Workplace,宮城県
34,Workplace,秋田県
35,Workplace,山形県
36,Workplace,福島県
37,Workplace,茨城県
38,Workplace,栃木県
39,Workplace,群馬県
40,Workplace,埼玉県
41,Workplace,千葉県
42,Workplace,東京都
43,Workplace,神奈川県
44,Workplace,新潟県
45,Workplace,富山県
46,Workplace,石川県
47,Workplace,福井県
48,Workplace,山梨県
49,Workplace,長野県
50,Workplace,岐阜県
51,Workplace,静岡県
52,Workplace,愛知県
53,Workplace,三重県
54,Workplace,京都府
55,Workplace,大阪府
56,Workplace,兵庫県
57,Workplace,奈良県
58,Workplace,和歌山県
59,Workplace,鳥取県
60,Workplace,島根県
61,Workplace,岡山県
62,Workplace,広島県
63,Workplace,山口県
64,Workplace,徳島県
65,Workplace,香川県
66,Workplace,愛媛県
67,Workplace,高知県
68,Workplace,福岡県
69,Workplace,佐賀県
70,Workplace,長崎県
71,Workplace,熊本県
72,Workplace,大分県
73,Workplace,宮崎県
74,Workplace,鹿児島県
75,Workplace,沖縄県
76,Workplace,海外
77,Workstyle,完全土日祝休み
78,Workstyle,有休消化50%以上
79,Workstyle,育児・介護制度利用率50%以上
80,Workstyle,転居を伴う転勤なし
81,Workstyle,フレックスタイム制導入
82,Workstyle,テレワーク可
83,Workstyle,副業可
84,Workstyle,住宅補助あり
85,Workstyle,家族手当あり
86,Workstyle,年俸制など実力主義的給与体系
87,Workstyle,ストックオプション・社員持ち株制度あり
88,Workstyle,海外で働ける
89,Workstyle,海外拠点あり
90,Workstyle,英語を使う機会あり
91,Workstyle,外資系企業
92,Workstyle,3年連続売上UP企業
93,Workstyle,資格取得バックアップ
94,Workstyle,自己啓発支援あり
95,Workstyle,メンター制度あり
96,Workstyle,研修あり
97,Workstyle,色々な職種を経験できる
98,Workstyle,キャリアコンサルティング制度あり
99,Workstyle,社内検定等の制度あり
